id,name,description,votes,sortorder
2158,Haanii Shivraj, actress,0,9999
2159,Serhiy Sukhobok, journalist,0,9999
2160,Herb Trimpe," comic book artist (The Incredible Hulk, Thor), co-creator of Wolverine",0,9999
2161,Norman H. Bangerter, politician Governor of Utah (1985–1993),0,9999
2162,Klaus Bednarz, journalist and writer,0,9999
2163,Homaro Cantu, chef,0,9999
2164,Sheldon Galbraith, figure skating coach,0,9999
2165,Aref Gholizadeh, international footballer,0,9999
2166,Ameril Umbra Kato, warlord leader of Bangsamoro Islamic Freedom Fighters,0,9999
2167,Kō Kojima, manga artist,0,9999
2168,M. Joseph Manning," politician, member of the Massachusetts House of Representatives (1967–1997)",0,9999
2169,Leslie Peterson," lawyer and politician, Attorney General of British Columbia (1968–1972)",0,9999
2170,Gordon Preston, mathematician,0,9999
2171,Majid Rahnema, diplomat and politician,0,9999
2172,Mark Reeds, ice hockey player (St. Louis Blues) and coach (Ottawa Senators),0,9999
2173,Meir Rosenne," lawyer and diplomat, Ambassador to France (1979–1983) and United States (1983–1987)",0,9999
2174,Kevin Rosier, super heavyweight kickboxing champion and mixed martial artist (UFC),0,9999
2175,Vilas Sarang, author,0,9999
2176,Howie Schumm, football player (Edmonton Eskimos),0,9999
2177,Arnold Schütz, footballer (Werder Bremen),0,9999
2178,Alex Stevens," actor and stunt performer (Dark Shadows, Superman, Goodfellas, Sesame Street)",0,9999
2179,Buddy Temple, businessman and politician,0,9999
2180,Roberto Tucci," Roman Catholic prelate, President of Vatican Radio (1985–2001), Cardinal-Priest of S. Ignazio di Loyola a Campo Marzio (since 2001)",0,9999
2181,Kathrine Sorley Walker, ballet critic,0,9999
2182,David Ward-Steinman, composer and music professor,0,9999
2183,Sidney Abbott, feminist activist,0,9999
2184,Kinya Aikawa, actor (Speed Racer Naruhodo! The World),0,9999
2185,Zaur Ardzinba, politician,0,9999
2186,Joseph A. Bennett, actor (The Young Indiana Jones Chronicles),0,9999
2187,Jonathan Crombie, actor (Anne of Green Gables),0,9999
2188,Margaret Harrison, peace campaigner,0,9999
2189,Billy Ray Hearn, record label chairman,0,9999
2190,John Howard, optical physicist,0,9999
2191,Oleg Kalashnikov, politician,0,9999
2192,Felice Leonardo," Roman Catholic prelate, Bishop of Cerreto Sannita-Telese-Sant’Agata de’ Goti (1957–1991)",0,9999
2193,Alexander Nadson," religious leader, Apostolic Visitor for Belarusian Greek-Catholic faithful abroad (since 1986)",0,9999
2194,Luis Ortega Álvarez," judge, member of the Constitutional Court of Spain (since 2011)",0,9999
2195,Govindbhai Patel, filmmaker,0,9999
2196,Margo Reed, jazz musician,0,9999
2197,Mykola Storozhenko, painter,0,9999
2198,Barbara Strauch, author and reporter (The New York Times),0,9999
2199,Surya Bahadur Thapa, politician Prime Minister (1963–1964 1965–1969 1979–1983 1997–1998 2003–2004),0,9999
2200,Gunilla Wolde, writer and illustrator,0,9999
2201,Ron Bailey," politician, MP for Heretaunga (1960–1981)",0,9999
2202,Driss Bamous, footballer,0,9999
2203,Valery Belousov, ice hockey player and coach,0,9999
2204,Ollie Brown, baseball player (San Diego Padres San Francisco Giants),0,9999
2205,Attaphol Buspakom, football player and coach,0,9999
2206,Oles Buzina, journalist,0,9999
2207,Bhola Nath Chalise, economist,0,9999
2208,Alden G. Glauch, air force general,0,9999
2209,Stanislav Gross, politician Prime Minister (2004–2005),0,9999
2210,Johnny Kemp," singer (""Just Got Paid"")",0,9999
2211,Heino Kleiminger, footballer (F.C. Hansa Rostock East Germany national team),0,9999
2212,Eduard Koblmueller, mountaineer,0,9999
2213,Nimal Mendis, singer and songwriter,0,9999
2214,Tommy Preston, footballer (Hibernian),0,9999
2215,Lee Remmel, public relations director (Green Bay Packers),0,9999
2216,Marjorie Elliott Sypher, First Lady (1974–1978),0,9999
2217,Giuseppe Zigaina, neorealist painter and author,0,9999
2218,Renato Altissimo," politician, Minister of Health (1979–1980, 1981–1983), Minister of Trade and Industry (1983–1986)",0,9999
2219,Steve Beck," executive, chairman of York City F.C. (2003-2004)",0,9999
2220,Brian Couzens, music industry executive (Chandos Records),0,9999
2221,Mariano Gago, physicist and politician,0,9999
2222,Francis George, Roman Catholic Cardinal Archbishop of Chicago (1997–2014) President of the Conference of Catholic Bishops (2007–2010),0,9999
2223,Peter Graham, cricketer,0,9999
2224,Robert P. Griffin," politician, member of the U.S. Senate from Michigan (1966–1977) and House of Representatives from Michigan's 9th district (1957–1966)",0,9999
2225,Jaroslav Holík," ice hockey player, world champion (1972)",0,9999
2226,Viktor Korshunov," actor, People's Artist of the USSR",0,9999
2227,Tore Bernitz Pedersen, cartoonist,0,9999
2228,Hannes Lindemann, sailor,0,9999
2229,Ray Nemec, baseball researcher and historian,0,9999
2230,Scotty Probasco, businessman and philanthropist,0,9999
2231,Don Quayle," broadcast journalist, President of NPR (1970–1973)",0,9999
2232,Jack Rieley, record producer and band manager (The Beach Boys),0,9999
2233,Jeremiah J. Rodell, brigadier general and priest,0,9999
2234,Keith Shackleton, painter and television presenter,0,9999
2235,S. K. Sharma, cricket umpire,0,9999
2236,Ann Stepan," politician, member of the Illinois House of Representatives (1991–1993)",0,9999
2237,A. Alfred Taubman," real estate developer, philanthropist and football team owner (Michigan Panthers)",0,9999
2238,Sir Christopher Bayly, historian,0,9999
2239,Walter Conahan, politician member of the South Dakota Senate (1983–1989),0,9999
2240,Francesco Dapiran, Olympic rower (1948),0,9999
2241,Gunnar Gravdahl," politician, Mayor of Bærum (1989–1992)",0,9999
2242,Joe Hutter," politician, member of the Iowa House of Representatives",0,9999
2243,Joseph Lechleider, inventor (DSL),0,9999
2244,Sir Roger Lobo," businessman and politician senior unofficial member of the Legislative Council (1980–1985) moved ""Lobo Motion"" (1984)",0,9999
2245,Mario Pirani," journalist (la Repubblica), economist, and writer",0,9999
2246,Bill Schultz," rugby league player (Eastern Suburbs, national team)",0,9999
2247,Laverne Torczon, football player,0,9999
2248,Leonid Vladimirski, book illustrator,0,9999
2249,Erwin Waldner," footballer (VfB Stuttgart, SPAL Ferrara)",0,9999
2250,Richard Anthony, singer,0,9999
2251,Sir Raymond Carr, historian,0,9999
2252,Haney Catchings, football coach (Prairie View A&M Tuskegee),0,9999
2253,Uche Chukwumerije, politician Senator for Abia North (since 2003),0,9999
2254,"Margot Duke, Marchioness of Reading", aristocrat,0,9999
2255,William Price Fox, novelist,0,9999
2256,Lothar Friedrich, cyclist,0,9999
2257,Eva Galambos, politician Mayor of Sandy Springs Georgia (2005–2014),0,9999
2258,Aliaskhab Kebekov, Islamist leader Emir of the Caucasus Emirate (since 2014),0,9999
2259,Sandra Mackey," writer (Chicago Tribune, Wall Street Journal)",0,9999
2260,István Marton, politician,0,9999
2261,"Roy Mason, Baron Mason of Barnsley"," politician, MP for Barnsley (1953–1983) and Barnsley Central (1983–1987), Secretary of State for Northern Ireland (1976–1979)",0,9999
2262,Scott Mason, radio personality,0,9999
2263,Tom McCabe," politician, Minister for Finance and Public Service Reform (2004–2007)",0,9999
2264,Tony Morelli," stunt performer (The X-Files, Smallville, Rise of the Planet of the Apes)",0,9999
2265,Hiroyuki Nishimoto, voice actor (Moomin),0,9999
2266,Theodosia Okoh, flag designer and sports administrator,0,9999
2267,Michael J. D. Powell, mathematician,0,9999
2268,Else Repål, politician,0,9999
2269,Oktay Sinanoğlu, scientist,0,9999
2270,Bernard Stollman, record label founder (ESP-Disk),0,9999
2271,Elio Toaff," rabbi, Chief Rabbi of Rome (1951–2002)",0,9999
2272,Betty Willis, graphic designer (Welcome to Fabulous Las Vegas sign),0,9999
2273,Casimir Witucki, football player (Washington Redskins),0,9999
2274,Gilberto Almeida, painter,0,9999
2275,Gary Brain, timpanist and conductor,0,9999
2276,Doug Buffone, football player (Chicago Bears) and radio host,0,9999
2277,Cláudio Cunha, actor,0,9999
2278,Hassan El-Shazly," footballer (Tersana, national team)",0,9999
2279,Pedro Eugênio, politician MP (1998–2014),0,9999
2280,Tommy Graham, politician,0,9999
2281,Peter Howell," actor (Emergency – Ward 10, Shadowlands, The Prisoner)",0,9999
2282,Albert Kalonji," politician, King of South Kasai",0,9999
2283,Aharon Lichtenstein,"-Israeli rabbi, recipient of the Israel Prize (2014)",0,9999
2284,Bob Maloubier, secret agent,0,9999
2285,Frederic Morton, writer,0,9999
2286,Bob St. Clair, Hall of Fame football player (San Francisco 49ers),0,9999
2287,Ibrahim Yusri, actor (The Terrorist),0,9999
2288,M. H. Abrams, literary critic,0,9999
2289,Mykola Bahrov, academician and politician,0,9999
2290,Steve Byrnes, sports announcer (NASCAR on Fox),0,9999
2291,Gideon Eilat, soldier,0,9999
2292,Betsy von Furstenberg, actress (As the World Turns) and baroness,0,9999
2293,Edan Milton Hughes, art dealer and author,0,9999
2294,Bakhtyar Khudojnazarov, film director (Luna Papa),0,9999
2295,Ferenc Konrád," water polo player, Olympic bronze (1968), silver (1972) and gold (1976) medalist",0,9999
2296,Jim McCarthy, rugby union player (national team),0,9999
2297,Sergei Mikhalev, ice hockey coach,0,9999
2298,John Moshoeu, footballer (Kaizer Chiefs Giant Blackpool national team) African Cup of Nations champion (1996),0,9999
2299,Janaki Ballabh Patnaik, politician Chief Minister of Odisha (1980–1989 1995–1999) Governor of Assam (2009–2014),0,9999
2300,"Robert P. Patterson, Jr.", federal judge,0,9999
2301,Borisav Pisić, Olympic hurdler (1980),0,9999
2302,Sydney Valpy Radley-Walters, WWII tank commander,0,9999
2303,Abdel Rahman el-Abnudi, poet,0,9999
2304,Derek Vonberg, physicist,0,9999
2305,Dave Walker," footballer (Burnley, Southampton)",0,9999
2306,Elizabeth Weaver," judge, Michigan Supreme Court Justice (1995–2010), Chief Justice (1991–2001)",0,9999
2307,Cindy Yang, model and actress (First of May),0,9999
2308,Hugh Alan Anderson, politician,0,9999
2309,Dick Balharry, conservationist,0,9999
2310,Peter B. Best, marine mammal expert,0,9999
2311,Dorothy Custer, comedian,0,9999
2312,Yoichi Funado, novelist,0,9999
2313,Régis Ghesquière, decathlete,0,9999
2314,Alasdair Graham," politician, Senator for Nova Scotia (1972–2004)",0,9999
2315,Nagare Hagiwara, actor,0,9999
2316,Imtiaz Alam Hanfi, banker,0,9999
2317,Ronny Lee, guitarist and writer,0,9999
2318,Audree Norton, actress,0,9999
2319,Bernard Penfold," army general, general manager of the Royal Hong Kong Jockey Club (1972–1979)",0,9999
2320,Aideen O'Kelly, actress,0,9999
2321,Páll Skúlason, philosopher,0,9999
2322,Gennadi Vengerov, actor (Enemy at the Gates),0,9999
2323,Irene Woodall, magazine editor,0,9999
2324,Afzaal Ahmed, cricketer,0,9999
2325,Aziz Asli, footballer (Persepolis),0,9999
2326,Dick Barone, baseball player (Pittsburgh Pirates),0,9999
2327,Desmond Boal," lawyer and politician, MP for Belfast Shankill (1960–1972)",0,9999
2328,Frana Cardno, politician Mayor of Southland District (1992–2013),0,9999
2329,Sir Philip Carter, football director (Everton),0,9999
2330,Richard Corliss, film critic (Time),0,9999
2331,Alexander Eliot, writer,0,9999
2332,Marie Herbst," politician, Mayor of Vernon, Connecticut (1979–1986), member of the Connecticut Senate (1987–1992)",0,9999
2333,George Horner, pianist and physician,0,9999
2334,Ray Jackson, aboriginal activist and Wiradjuri elder,0,9999
2335,Pierre Claude Nolin, politician Speaker of the Senate (since 2014),0,9999
2336,Frank Porretta, tenor and musical theater actor,0,9999
2337,Paul Ryan, actor television host and correspondent (Entertainment Tonight),0,9999
2338,Jim Steffen," football player (Detroit Lions, Washington Redskins)",0,9999
2339,E. M. Subramaniam, Carnatic percussionist,0,9999
2340,Sawyer Sweeten, actor (Everybody Loves Raymond),0,9999
2341,Francis Tsai, comic book film and video game concept artist (Spider-Man TMNT The Bourne Conspiracy),0,9999
2342,Sixto Valencia Burgos," comic artist (Memín Pinguín, MAD)",0,9999
2343,Guillermo Zúñiga Martínez," academic and politician, Mayor of Xalapa (1988–1991), MP for Veracruz (1994–1997)",0,9999
2344,Władysław Bartoszewski," politician and resistance fighter, Auschwitz concentration camp prisoner, Minister of Foreign Affairs (1995, 2000–2001)",0,9999
2345,Ken Birch, footballer (Bangor City),0,9999
2346,Thomas Joseph Connolly," Roman Catholic prelate, Bishop of Baker (1971–1999)",0,9999
2347,Rustum Ghazaleh, military officer,0,9999
2348,Ismail Hussain, politician MP for Barpeta (2009–2014),0,9999
2349,Valentine Lamb, journalist (The Irish Field),0,9999
2350,Frankie Lee, blues singer-songwriter,0,9999
2351,Benjamin F. Logan, electrical engineer and bluegrass musician,0,9999
2352,Sabeen Mahmud, human rights activist,0,9999
2353,"Michael Mustill, Baron Mustill"," judge, barrister and peer",0,9999
2354,Herbert Ninaus, international footballer,0,9999
2355,Claudia Paz, actress,0,9999
2356,Max Rojas, poet,0,9999
2357,Raymond Roussin," Roman Catholic prelate, Bishop of Gravelbourg (1995–1998) and Victoria (1999–2004), Archbishop of Vancouver (2004–2009)",0,9999
2358,Sid Tepper," songwriter (""Red Roses for a Blue Lady"")",0,9999
2359,George C. Young, lawyer and judge,0,9999
2360,Colin Bloomfield, radio presenter (BBC Radio Derby),0,9999
2361,Sujit Bose, cricketer,0,9999
2362,Arthur Brittenden, newspaper editor (Daily Mail),0,9999
2363,Wilfred Brown, cricketer,0,9999
2364,"Edward Coke, 7th Earl of Leicester", nobleman,0,9999
2365,Jim Fanning, baseball player (Chicago Cubs) and manager (Montreal Expos),0,9999
2366,Paolo Galletti, swimmer,0,9999
2367,Jiří Hledík, footballer (FC Hradec Králové),0,9999
2368,Otakar Krámský, racing driver triple European hillclimb champion (1995 1997 1998),0,9999
2369,Don Mankiewicz, screenwriter (Star Trek Ironside Profiles in Courage),0,9999
2370,Ben Molar, composer and musical producer,0,9999
2371,Mike Phillips, basketball player (Kentucky Wildcats FC Barcelona),0,9999
2372,Alfred Schreyer, fiddler and singer,0,9999
2373,Christine Stewart," politician, Secretary of State (1993–1997) and Minister of the Environment (1997–1999)",0,9999
2374,Richard West, journalist and author,0,9999
2375,Dan Fredinburg," executive, head of privacy at Google",0,9999
2376,Matthias Kuhle, geographer,0,9999
2377,Masudur Rahman Baidya, swimmer,0,9999
2378,Talal Akbar Bugti, tribal leader and politician,0,9999
2379,Edward T. Chambers, activist director of the Industrial Areas Foundation (1972–2009),0,9999
2380,Hojatollah Khatib, sports administrator (Persepolis),0,9999
2381,Izatullo Khayoyev," politician, Vice-President (1990–1991), Prime Minister (1991–1992)",0,9999
2382,Jayne Meadows," actress (I've Got a Secret, Undercurrent, Song of the Thin Man)",0,9999
2383,Józef Paczyński," WWII prisoner, barber of Rudolf Hoss",0,9999
2384,Marcel Pronovost," Hall of Fame ice hockey player (Detroit Red Wings, Toronto Maple Leafs)",0,9999
2385,Bill Valentine, baseball umpire,0,9999
2386,Wang Guozhen, poet,0,9999
2387,Jay Appleton, geographer,0,9999
2388,Randy Bennett, swimming coach,0,9999
2389,Suzanne Crough, actress (The Partridge Family),0,9999
2390,David Fletcher, cricketer (Surrey),0,9999
2391,Gene Fullmer," professional boxer, two-time middleweight world champion",0,9999
2392,Verne Gagne," professional wrestler, trainer and promoter (AWA), Hall of Fame (2004, 2006)",0,9999
2393,Frank Henderson," politician, member of the Idaho House of Representatives (2004–2014)",0,9999
2394,Guy LeBlanc, keyboard player (Nathan Mahl Camel),0,9999
2395,Andrew Lesnie, cinematographer (The Lord of the Rings I Am Legend The Water Diviner) Oscar winner (2002),0,9999
2396,Harvey R. Miller, lawyer,0,9999
2397,Marty Napoleon, jazz pianist,0,9999
2398,Lionel Repka, ice hockey player (Fort Wayne Komets),0,9999
2399,Alexander Rich, biologist,0,9999
2400,Inês Etienne Romeu, political prisoner,0,9999
2401,Abraham Rotstein, economist,0,9999
2402,Rolf Smedvig, classical trumpeter (Empire Brass),0,9999
2403,Chris Turner, football player and manager (Peterborough),0,9999
2404,John Wimpenny, aeronautical engineer,0,9999
2405,Antônio Abujamra, actor and director,0,9999
2406,Marcia Brown, writer and children's books illustrator,0,9999
2407,Duri Camichel, ice hockey player (EV Zug),0,9999
2408,Glenn Dennis, ufologist,0,9999
2409,Jack Ely," singer (""Louie Louie"")",0,9999
2410,René Féret, actor and director (Solemn Communion),0,9999
2411,Ashura Hara, professional wrestler,0,9999
2412,Keith Harris, ventriloquist (Orville the Duck Cuddles the Monkey),0,9999
2413,Michael J. Ingelido, Air Force major general,0,9999
2414,Yoshihiko Osaki, swimmer Olympic silver medalist (1960),0,9999
2415,"Vicente Piccio, Jr.", Air Force major general,0,9999
2416,James Watson, novelist,0,9999
2417,Einar Thorsteinn, architect,0,9999
2418,Xu Guangxian, chemist,0,9999
2419,Charles Benton, public digital media promoter CEO of the Benton Foundation,0,9999
2420,Carlos Calderón Fajardo, journalist and novelist,0,9999
2421,Giovanni Canestri," Roman Catholic prelate, Archbishop of Cagliari (1984–1987) and Genoa (1987–1995)",0,9999
2422,Daniel During, cricketer,0,9999
2423,Gopulu, cartoonist (Ananda Vikatan),0,9999
2424,Nicholas Gruner, Roman Catholic priest promoter of the message of Our Lady of Fatima,0,9999
2425,John G. Heyburn II, federal judge Chief District Court Judge for the Western District of Kentucky (2001–2008),0,9999
2426,Paul Hudak, professor of computer science,0,9999
2427,Milap Chand Jain," judge and politician, Governor of Rajasthan (1990)",0,9999
2428,Gary Liddell," footballer (Grimsby Town, Heart of Midlothian)",0,9999
2429,Valmir Louruz," football manager (Juventude, Pelotas)",0,9999
2430,François Michelin," businessman, CEO of Michelin (1955–1999)",0,9999
2431,Vardan Militosyan, weightlifter,0,9999
2432,Jean Nidetch," businesswoman, founder of Weight Watchers",0,9999
2433,Calvin Peete," golfer, Tournament Players champion (1985)",0,9999
2434,Joe Pikula, football player (Hamilton Tiger-Cats),0,9999
2435,Barbara Reynolds," scholar, lexicographer and translator",0,9999
2436,Brian Sedgemore, politician,0,9999
2437,Dan Walker, politician Governor of Illinois (1973–1977),0,9999
2438,Andrew Chan, (Bali Nine),0,9999
2439,Rodrigo Gularte,,0,9999
2440,Myuran Sukumaran, (Bali Nine),0,9999
2441,Lennart Bodström," politician, Minister for Foreign Affairs (1982–1985)",0,9999
2442,Peter Dobkin Hall, author and historian,0,9999
2443,David Fonseca, politician Mayor of Belize City (1999–2006),0,9999
2444,Adrian Gibson," politician, MP for Denison (1964–69)",0,9999
2445,Steven Goldmann, music video and film director,0,9999
2446,Rutger Gunnarsson," bassist (ABBA, Elton John)",0,9999
2447,Gregory Mertens, footballer,0,9999
2448,Patachou, singer and actress,0,9999
2449,William Pfaff, author and columnist,0,9999
2450,Ronald Senator, composer,0,9999
2451,Nigel Terry, actor (The Lion in Winter Excalibur Troy),0,9999
2452,Stephen Milburn Anderson, film director writer and producer,0,9999
2453,Jamie Bishop, cricket player (Glamorgan),0,9999
2454,Pete Brown, professional golfer,0,9999
2455,José Canalejas," actor (Django, The Ugly Ones, The Mercenary)",0,9999
2456,Ray Ceresino, ice hockey player (Toronto Maple Leafs),0,9999
2457,Amitabha Chowdhury, journalist,0,9999
2458,Blanche Cobb, supercentenarian,0,9999
2459,David Day," radio broadcaster (5KA, Triple M)",0,9999
2460,Petro Didyk, footballer,0,9999
2461,Geoff Duke," motorcycle racer, six-time Grand Prix world champion",0,9999
2462,Harry Geisinger, politician member of the Georgia House of Representatives (1969–1974 since 2005),0,9999
2463,Dave Goldberg, executive (SurveyMonkey LAUNCH Media),0,9999
2464,Vafa Guluzade, diplomat and political scientist,0,9999
2465,Leonard Haber," psychologist, politician and radio show host, Mayor of Miami Beach, Florida (1977–1979)",0,9999
2466,John Hansen, politician,0,9999
2467,Alexander Kok, cellist,0,9999
2468,Amar Laskri, film director,0,9999
2469,Paul Walter Myers, classical record producer,0,9999
2470,Phyllis Rutledge," politician, member of the West Virginia House of Delegates (1968–1972, 1988–1994)",0,9999
2471,María Elena Velasco, actress comedian and film producer (La India María),0,9999
2472,Bob Wareing," politician, MP for Liverpool West Derby (1983–2010)",0,9999
2473,Colin Whitaker," footballer (Shrewsbury Town, Oldham Athletic)",0,9999
2474,Beth Whittall," Olympic swimmer, double Pan American champion (1955)",0,9999
2475,Stuart Archer," army colonel, recipient of the George Cross (1941)",0,9999
2476,Michael Blake," author and screenwriter (Dances with Wolves), Oscar winner (1991)",0,9999
2477,Guy Carawan, folk singer and civil rights activist,0,9999
2478,José María Castiñeira de Dios, poet,0,9999
2479,Sarah Correa, swimmer South American Games champion (2010),0,9999
2480,Philip S. Goodman," director, screenwriter and producer (We Shall Return, Profiles in Courage)",0,9999
2481,Konstantyn K. Kuzminsky, performance poet,0,9999
2482,Ma Shui-long, composer,0,9999
2483,John Mahaffy," ice hockey player (Montreal Canadiens, New York Rangers)",0,9999
2484,Ryan McHenry, film director and social media personality (Vine),0,9999
2485,Nick Mead, World War II Royal Navy officer,0,9999
2486,Martin Nag, writer,0,9999
2487,Rex Percy," rugby league player (Auckland, Balmain, national team)",0,9999
2488,Maya Plisetskaya, ballet dancer,0,9999
2489,Frank Snow, politician,0,9999
2490,Norman Thaddeus Vane, screenwriter and film director (Frightmare),0,9999
2491,Yu Pengnian, real estate magnate and philanthropist,0,9999
2492,Abdul Wahid Aresar, politician,0,9999
2493,Revaz Chkheidze," film director (Father of a Soldier, The Saplings)",0,9999
2494,Thomas A. Constantine," police superintendent, Administrator for the Drug Enforcement Administration (1994–1999)",0,9999
2495,John Elders, rugby union player (Leicester),0,9999
2496,Margaret Garwood, opera composer,0,9999
2497,Alan Hall, cell biologist,0,9999
2498,Danny Jones, international rugby league player,0,9999
2499,Symphorian Thomas Keeprath," Roman Catholic prelate, Bishop of Jalandhar (1971–2007)",0,9999
2500,Zoran Lalović, musician,0,9999
2501,Lu Ping, politician and diplomat,0,9999
2502,Harry Martin, judge,0,9999
2503,Elizabeth Raybould, nurse and nursing educator,0,9999
2504,Warren Smith, professional golfer,0,9999
2505,Su Wenmao, crosstalk actor,0,9999
2506,Abdul Basit Usman, fugitive,0,9999
2507,Tung Jeong, physicist,0,9999
2508,Eva Aeppli, artist,0,9999
2509,Ann Barr, writer (The Official Sloane Ranger Handbook),0,9999
2510,William Bast, screenwriter and author,0,9999
2511,Ellen Albertini Dow, actress (The Wedding Singer Patch Adams Wedding Crashers),0,9999
2512,Zhivko Gospodinov, footballer,0,9999
2513,Jesús Hermida, journalist and broadcaster,0,9999
2514,Marv Hubbard, football player (Oakland Raiders Detroit Lions),0,9999
2515,Andrew Lewis, boxer,0,9999
2516,Joshua Ozersky, food writer,0,9999
2517,James Ritter, politician,0,9999
2518,Wes Schuck, film and music producer,0,9999
2519,Matti Viljanen," politician, MP (1979–1991)",0,9999
2520,William Wilson, businessman (Aston Martin),0,9999
2521,Vicente Joaquim Zico," Roman Catholic prelate, coadjutor Archbishop (1980–1990) and Archbishop of Belém do Pará (1990–2004)",0,9999
2522,Jobst Brandt, author and cyclist,0,9999
2523,Michael Burns, Gaelic football player (Cork),0,9999
2524,Jon Castañares, economist and politician,0,9999
2525,Gerard Davison, IRA commander,0,9999
2526,Craig Gruber, rock musician (Rainbow Bible Black Raven Lord),0,9999
2527,Oscar Holderer," engineer, worked on Saturn V project",0,9999
2528,Hans Jansen, politician MEP (since 2014),0,9999
2529,Jimmy Jones, footballer,0,9999
2530,Ralph Lainson, parasitologist,0,9999
2531,Bruce G. Lindsay, statistician,0,9999
2532,Des O'Hagan, politician (Workers' Party of Ireland),0,9999
2533,Novera Ahmed, sculptor,0,9999
2534,Richard J. Bartlett," legislator, New York State Chief Administrative Judge of the Courts (1974–1979)",0,9999
2535,William Bronder," actor (Stand by Me, CHiPs)",0,9999
2536,Errol Brown, singer (Hot Chocolate),0,9999
2537,Jerome Cooper, jazz drummer,0,9999
2538,Nicolas Huỳnh Văn Nghi," Roman Catholic prelate, Bishop of Phan Thiết (1975–2005)",0,9999
2539,Denise McCluggage," racing car driver, journalist, author and photographer",0,9999
2540,Michael O'Brien, historian of the Southern United States,0,9999
2541,Anson D. Shupe, sociologist,0,9999
2542,Janko Vranyczany-Dobrinović, politician and diplomat,0,9999
2543,Jim Wright," politician, member of the U.S. House of Representatives from Texas's 12th district (1955–1989), Speaker of the House (1987–1989)",0,9999
2544,Asim Thahit Abdullah al Khalaqi, Guantanamo Bay detainee,0,9999
2545,Michael Barratt Brown, economist and political activist,0,9999
2546,Joey Brush, politician member of the Georgia State Senate (1996–2004),0,9999
2547,Frank DiPascali, financier and fraudster,0,9999
2548,John Dixon, cartoonist (Air Hawk and the Flying Doctors),0,9999
2549,Sir Sam Edwards, physicist,0,9999
2550,Sir Maurice Flanagan, businessman (Emirates),0,9999
2551,Rigby Graham, painter,0,9999
2552,Thomas F. Lamb," politician, member of the Pennsylvania Senate (1969–1974) and House of Representatives (1959–1966)",0,9999
2553,Gilbert Lewis," actor (Pee-wee's Playhouse, Don Juan DeMarco, Candyman)",0,9999
2554,Karsten Lund, footballer (Vejle Boldklub),0,9999
2555,Józef Pazdur," Roman Catholic prelate, Auxiliary Bishop of Wrocław (1984–2000)",0,9999
2556,Zeki Alasya, actor and director,0,9999
2557,Sir Edward Burgess," army general, Deputy Supreme Allied Commander Europe (1984–1987)",0,9999
2558,Chuck Dow," politician, member of the Maine House of Representatives (1971–1980) and Senate (1983–1990)",0,9999
2559,Thomas Herlihy," politician, State Senator for Connecticut's 8th District (1999–2009)",0,9999
2560,Mwepu Ilunga, footballer,0,9999
2561,Menashe Kadishman," artist, recipient of the Israel Prize (1995)",0,9999
2562,Adriana Maraž, graphic artist,0,9999
2563,W. Winfred Moore, pastor,0,9999
2564,Bob Sandberg, football player (Winnipeg Blue Bombers),0,9999
2565,Juan Schwanner, football player and coach,0,9999
2566,Atanas Semerdzhiev," politician, Vice-President (1990–1992)",0,9999
2567,Phil Skoglund," lawn bowls player, triples world champion (1988)",0,9999
2568,Leif Holger Larsen," diplomat, Ambassador to Pakistan (since 2014).",0,9999
2569,"Domingo Lucenario, Jr."," diplomat, Ambassador to Pakistan (since 2013).",0,9999
2570,Buddy Corlett, softball and basketball player,0,9999
2571,Russell Dermond, Olympic sprint canoer (1956),0,9999
2572,Berry Avant Edenfield, federal judge and politician U.S. District Court Judge for the Southern District of Georgia (1978–2006) member of the Georgia State Senate (1965–1966),0,9999
2573,Edward W. Estlow," football player, journalist and businessman (E. W. Scripps Company)",0,9999
2574,Kenan Evren," military officer and coup leader, Chief of the General Staff (1978–1983), President (1980–1989)",0,9999
2575,Johnny Gimble, country music fiddler,0,9999
2576,Igor Gorynin, metallurgist,0,9999
2577,Ton Hartsuiker, pianist and director of music academies,0,9999
2578,Alexandre Lamfalussy, economist,0,9999
2579,Lo Wing-lok, politician member of the Legislative Council for Medical (2000–2004),0,9999
2580,Michael MacKellar," politician, MP for Warringah (1969–1994)",0,9999
2581,Odo Marquard, philosopher,0,9999
2582,Đorđe Pavlić, footballer,0,9999
2583,Ragne Tangen, children's television presenter,0,9999
2584,Elizabeth Wilson," actress (The Birds, The Graduate, 9 to 5), Tony Award winner (1972)",0,9999
2585,Christopher Wood," novelist and screenwriter (Moonraker, Remo Williams: The Adventure Begins, The Spy Who Loved Me)",0,9999
2586,Chukwuma Azikiwe, politician,0,9999
2587,Ray Baillie, football player (Montreal Alouettes),0,9999
2588,Ninad Bedekar, historian and writer,0,9999
2589,Jack Body, composer,0,9999
2590,Chris Burden, artist,0,9999
2591,William T. Cooper, bird illustrator,0,9999
2592,Mario Da Vinci, Canzone Napoletana singer and actor,0,9999
2593,Jerry Dior, graphic designer creator of the Major League Baseball logo,0,9999
2594,Juan Emery, footballer,0,9999
2595,Luiz Henrique da Silveira, politician Senator (since 2011) Governor of Santa Catarina (2003–2006 2007–2010) Minister of Science and Technology (1987–1988),0,9999
2596,Kim Kyok-sik, military officer Defence Minister (2012–2013),0,9999
2597,Donald Neff, journalist and author,0,9999
