id,name,description,selected_by,sortorder
4876,Wilton Felder, saxophonist (The Crusaders) and session bassist (Motown),0,9999
4877,John Guillermin, film director and producer (The Towering Inferno King Kong Shaft in Africa),0,9999
4878,Pietro Ingrao," politician, President of the Chamber of Deputies (1976–1979), journalist and partisan",0,9999
4879,Hugh Jackson, golfer,0,9999
4880,Denise Lor," singer (""If I Give My Heart to You"") and actress",0,9999
4881,Kallen Pokkudan, environmental activist and writer,0,9999
4882,Richard Rainwater, investor,0,9999
4883,Torgeir Stensrud, businessman,0,9999
4884,Fred Stickel, newspaper publisher (The Oregonian),0,9999
4885,Frank Tyson," cricketer (Northamptonshire, England), journalist and commentator",0,9999
4886,Sir Peter Abbott, admiral Vice-Chief of the Defence Staff (1997–2001),0,9999
4887,Frank Martinus Arion, Antillean author,0,9999
4888,Siert Bruins, war criminal,0,9999
4889,Michael Burgess, tenor,0,9999
4890,Claudia Bär, slalom canoer European champion (2008 2011),0,9999
4891,Martin Colfer, international footballer,0,9999
4892,Catherine E. Coulson, actress and production assistant (Twin Peaks Star Trek II: The Wrath of Khan Eraserhead),0,9999
4893,Louis Armand Desrochers, lawyer and academic,0,9999
4894,Carlos Diaz," baseball player (Los Angeles Dodgers, New York Mets)",0,9999
4895,Alexander Faris, composer,0,9999
4896,Frankie Ford," singer (""Sea Cruise"")",0,9999
4897,Valerie Ganz, painter,0,9999
4898,Sjur Hopperstad," politician, county mayor of Sogn og Fjordane",0,9999
4899,Walter Dale Miller," politician, Governor of South Dakota (1993–1995)",0,9999
4900,Karsten Schwan, computer scientist,0,9999
4901,Ignacio Zoco, footballer (Real Madrid),0,9999
4902,Nawwaf bin Abdulaziz Al Saud," prince, director of General Intelligence Directorate (2001–2005)",0,9999
4903,Sorin Avram, Olympic football player (1964) and coach (Bacău),0,9999
4904,Al Benecick, football player (Saskatchewan Roughriders),0,9999
4905,Claude Dubar, sociologist,0,9999
4906,Mauro Ferri, politician,0,9999
4907,Gillian Gear, historian and archivist (Barnet Museum),0,9999
4908,Benjamin Hutto," organist, choirmaster and academic",0,9999
4909,Susumu Ito, cell biologist and WW2 veteran (442nd Regiment),0,9999
4910,Ram Kapse," politician, Lieutenant Governor of Andaman and Nicobar Islands (2004–2006)",0,9999
4911,Hellmuth Karasek, literary critic and journalist (Der Spiegel),0,9999
4912,William Kerslake, NASA engineer and wrestler,0,9999
4913,Gilles Mayer, ice hockey player (Toronto Maple Leafs),0,9999
4914,Sybil C. Mobley, academic,0,9999
4915,Gamaliel Onosode, businessman and politician,0,9999
4916,Burton Raffel, literary translator and writer,0,9999
4917,Jean Ter-Merguerian, violinist,0,9999
4918,Pat Woodell, actress (Petticoat Junction),0,9999
4919,Phil Woods," saxophonist (""Just the Way You Are"")",0,9999
4920,Pierre de Bellefeuille, politician,0,9999
4921,Caio César, voice actor (Harry Potter) and policeman,0,9999
4922,Claude Dauphin, business executive co-founder and CEO of Trafigura,0,9999
4923,Morris E. Fine, scientist,0,9999
4924,Kelly Gissendaner, convicted malice murderer,0,9999
4925,Antje Huber," politician, Federal Minister for Youth, Family and Health (1976–1982)",0,9999
4926,Göran Hägg, writer and literary critic,0,9999
4927,Svein B. Manum, botanist,0,9999
4928,Eric Martin, cricketer,0,9999
4929,"Robert M. Polich, Sr.", World War II bomber pilot,0,9999
4930,Donald Seawell, theater producer and newspaper publisher,0,9999
4931,Alfred Schickel, historian,0,9999
4932,Rick Talan, footballer (AZ Vitesse Arnhem),0,9999
4933,Ian Thwaites, cricketer,0,9999
4934,Božo Bakota," footballer (NK Zagreb, SK Sturm Graz)",0,9999
4935,Jacques Brodin, Olympic fencer,0,9999
4936,Don Edwards," politician, member of the U.S. House of Representatives from California (1963–1995)",0,9999
4937,Illtyd Harrington, politician,0,9999
4938,Max Keeping, broadcaster (CJOH),0,9999
4939,Stanisław Kociołek," politician, Deputy Prime Minister (1970)",0,9999
4940,Cal Neeman," baseball player (Chicago Cubs, Philadelphia Phillies)",0,9999
4941,Hadi Norouzi, footballer (Persepolis),0,9999
4942,Frans Pointl, writer,0,9999
4943,Jacob Pressman," Conservative rabbi, co-founder of American Jewish University",0,9999
4944,Usnija Redžepova, singer,0,9999
4945,Angelito Sarmiento, politician member of the House of Representatives (1992–2001),0,9999
4946,Gottfried Schatz, biochemist,0,9999
4947,Johnny Strange, mountain climber and adventurer,0,9999
4948,Jean-Jacques Tillmann, sports journalist,0,9999
4949,Joe Wark, footballer (Motherwell),0,9999
4950,Willie Akins, jazz saxophonist,0,9999
4951,Naim Araidi, Druze academic and poet Ambassador to Norway (2012–2014),0,9999
4952,Steve Camacho, cricketer (West Indies),0,9999
4953,François Dagognet, philosopher,0,9999
4954,Eric Arturo Delvalle," politician, President (1985–1988)",0,9999
4955,Ferdinand Joseph Fonseca," Roman Catholic prelate, Auxiliary Bishop of Bombay (1980–2000)",0,9999
4956,Brian Friel," dramatist (Philadelphia, Here I Come!, Dancing at Lughnasa, Translations)",0,9999
4957,Rodolfo Frigeri," economist and politician, Minister of Economy and Public Finances (2001)",0,9999
4958,Coleridge Goode, jazz bassist,0,9999
4959,"Arthur Lawson Johnston, 3rd Baron Luke", peer and politician,0,9999
4960,Lindsay Kline, cricketer,0,9999
4961,Serhiy Krulykovskyi, footballer (Dynamo Kyiv),0,9999
4962,Lubomír Lipský, actor,0,9999
4963,Megateo, criminal,0,9999
4964,James Mutende," politician, State Minister of Industry (since 2011)",0,9999
4965,Johnny Paton," football player (Brentford, Watford, Celtic), coach and manager (Arsenal 'A')",0,9999
4966,Alan Prince," bureaucrat, Director of the Nuclear Safety Commission (1975–1978), oversaw the clean up of Kosmos 954",0,9999
4967,Fred Ridgway," cricketer (Kent, England)",0,9999
4968,Hal Schacker, baseball player (Boston Braves),0,9999
4969,Andy Sperandeo, magazine editor (Model Railroader),0,9999
4970,Jean-Noël Tassez, journalist,0,9999
4971,A. R. M. Abdul Cader," politician, MP (1989–2004)",0,9999
4972,Denis Healey, politician Secretary of State for Defence (1964–1970) Chancellor of the Exchequer (1974–1979),0,9999
4973,Lloyd Hinchberger," ice hockey player (New Haven Blades, Nashville Dixie Flyers)",0,9999
4974,Olga Hirshhorn, art collector,0,9999
4975,Isao Hosoe, designer,0,9999
4976,Javed Iqbal," judge, Justice of the Supreme Court (1986–1989)",0,9999
4977,Muhammad Nawaz Khan, historian and writer,0,9999
4978,Stewart McInnes, lawyer and politician member of Parliament (1984–1988),0,9999
4979,Barbara Meek, actress (Archie Bunker's Place),0,9999
4980,Raghavan Narasimhan, mathematician,0,9999
4981,João Leithardt Neto, footballer Olympic silver medalist (1984),0,9999
4982,Paul R. Norby, Navy admiral,0,9999
4983,Dave Pike, jazz musician,0,9999
4984,Arthur A. Small, lawyer and poet,0,9999
4985,Masjchun Sofwan, Governor of Jambi (1979–1989),0,9999
4986,Gerald Squires, artist,0,9999
4987,Christopher Tambling, composer and choirmaster,0,9999
4988,William Taylor," children's writer and politician, Mayor of Ohakune (1981–1988)",0,9999
4989,Peter Tillers, legal scholar,0,9999
4990,Franciszek Walicki, journalist,0,9999
4991,Yves Barsacq, film actor,0,9999
4992,William A. Culpepper," judge, Louisiana Court of Appeal for the Third Circuit",0,9999
4993,José Eduardo Dutra, businessman (Petrobras) and politician Senator (since 1994),0,9999
4994,Tove Fergo, politician Minister for Ecclesiastical Affairs (2001–2005) member of Folketinget (1994–2005),0,9999
4995,Daniel Fletcher, AFL football player (Geelong),0,9999
4996,S. Malcolm Gillis, academic President of Rice University (1993–2004),0,9999
4997,Juan Carlos Ibáñez, footballer (Independiente),0,9999
4998,Jack McKee," politician, Mayor of Larne (1984–1985)",0,9999
4999,J. Whyatt Mondesire, journalist and civil rights activist,0,9999
5000,Eduardo Pavlovsky, actor and playwright,0,9999
5001,Edida Nageswara Rao, film producer (Sankarabharanam),0,9999
5002,Job de Ruiter," politician, Minister of Justice (1977–1981), Minister of Defence (1981–1986)",0,9999
5003,Sir John Severne, Royal Air Force officer,0,9999
5004,Jim Thomas, CFL player (Edmonton Eskimos),0,9999
5005,Neal Walk," basketball player (Phoenix Suns, New Orleans Jazz, New York Knicks)",0,9999
5006,Bob Whan, politician MP for Eden-Monaro (1972–1975),0,9999
5007,Oganes Zanazanyan," football player (Ararat Yerevan) and coach, Olympic bronze medalist (1972)",0,9999
5008,Chantal Akerman, film director (Jeanne Dielman 23 quai du Commerce 1080 Bruxelles),0,9999
5009,Frank Albanese, boxer and actor (The Sopranos Goodfellas),0,9999
5010,Joker Arroyo, politician Senator (2001–2013),0,9999
5011,Gösta Bergkvist, runner,0,9999
5012,Grace Lee Boggs, civil rights activist and author,0,9999
5013,Larry Brezner, film producer (Good Morning Vietnam Throw Momma From the Train Ride Along),0,9999
5014,Michael Dean, broadcaster (Late Night Line-Up),0,9999
5015,Ana Diosdado, playwright and actress,0,9999
5016,Flavio Emoli, footballer (Juventus),0,9999
5017,Mary Jane Farell, bridge player,0,9999
5018,Joe Henson, farmer and conservationist,0,9999
5019,"Infante Carlos, Duke of Calabria", nobleman,0,9999
5020,Li Yongtai, lieutenant general and politician,0,9999
5021,Trevor Lloyd, rugby union player,0,9999
5022,Henning Mankell, author (Kurt Wallander),0,9999
5023,John O'Leary," politician, TD for Kerry South (1966–1997)",0,9999
5024,Anna Pump, baker and cookbook author,0,9999
5025,Andrew Rubin, actor (Police Academy Mary Hartman Mary Hartman),0,9999
5026,Niall Rudd, classical scholar,0,9999
5027,Ales Savitsky, writer,0,9999
5028,Jos Vandeloo, author,0,9999
5029,Peter Wespi, Olympic ice hockey player (1964),0,9999
5030,Christine Arnothy, writer,0,9999
5031,Kevin Corcoran, actor and producer (Old Yeller Pete's Dragon Sons of Anarchy),0,9999
5032,Rich Davis," businessman, creator of KC Masterpiece barbecue sauce",0,9999
5033,Charles Coulston Gillispie," historian, President of History of Science Society (1965–1966)",0,9999
5034,Smokey Johnson, drummer,0,9999
5035,Stasys Povilaitis, singer and poet,0,9999
5036,Fernando Rainieri," politician, minister of tourism",0,9999
5037,Billy Joe Royal," pop and country singer (""Down in the Boondocks"", ""Cherry Hill Park"", ""Burned Like a Rocket"")",0,9999
5038,Vladimir Shlapentokh, sociologist,0,9999
5039,Sandra Spuzich, golfer,0,9999
5040,William Stanley," mammalogist, director of collections at Field Museum",0,9999
5041,Carmen Marina Torres, actress,0,9999
5042,Otto Tucker, educationalist,0,9999
5043,Juan Vicente Ugarte del Pino, historian and jurist,0,9999
5044,Ivan Vidav, mathematician,0,9999
5045,Gene Allen," art director (My Fair Lady), President of the Academy of Motion Picture Arts and Sciences (1983–1985)",0,9999
5046,Ray Appleton, jazz drummer,0,9999
5047,Pushpa Bhuyan, classical dancer,0,9999
5048,Ângelo da Cunha Pinto, chemist,0,9999
5049,Friedrich Diedrich, Roman Catholic theologian,0,9999
5050,Dominique Dropsy, footballer (Valenciennes Strasbourg Bordeaux),0,9999
5051,Harry Gallatin, Hall of Fame basketball player (New York Knicks Detroit Pistons) and coach (New York Knicks St. Louis Hawks),0,9999
5052,Hossein Hamadani, military officer,0,9999
5053,Hy Hollinger," journalist (Variety) and publicist (Paramount Pictures), international editor of The Hollywood Reporter (1992–2008)",0,9999
5054,Hasan Jamil, cricketer,0,9999
5055,Kenneth Koe, chemist,0,9999
5056,Elena Lucena, film actress,0,9999
5057,W. R. Mitchell, writer and editor (Dalesman),0,9999
5058,Julius Muthamia, politician,0,9999
5059,Maria Lúcia Prandi, academic and politician,0,9999
5060,Charles P. West," politician, member of the Delaware House of Representatives (1956–1958, 1978–2002)",0,9999
5061,Helen Wilkes," businesswoman and politician, first female Mayor of West Palm Beach, Florida (1978–1979), City Commissioner (1976–1988)",0,9999
5062,Arthur Woods," rugby union player (Southland, national team)",0,9999
5063,Clive Young, Anglican prelate Bishop of Dunwich (1999–2013),0,9999
5064,Gail Zappa, businesswoman,0,9999
5065,Jurelang Zedkaia, Iroijlaplap and politician President of the Marshall Islands (2009–2012),0,9999
5066,Richard Davies, character actor (Please Sir!),0,9999
5067,Eric Dawe," businessman and politician, member of the Newfoundland House of Assembly for Port de Grave (1962–1971, 1975–1979)",0,9999
5068,Jim Diamond," singer-songwriter (""I Should Have Known Better"")",0,9999
5069,Dennis Eichhorn, writer and comic book artist,0,9999
5070,Tom Goode, football player (Baltimore Colts),0,9999
5071,Enrique Gratas, television presenter,0,9999
5072,Dora Holzhandler, painter,0,9999
5073,Lindy Infante, football coach (Green Bay Packers Indianapolis Colts),0,9999
5074,István Nemeskürty, writer and screenwriter,0,9999
5075,Elizabeth Ramsey," comedian, singer and actress, hyperglycemic attack",0,9999
5076,Massimo Scaglione, film director,0,9999
5077,Hugh Scully, television presenter (Antiques Roadshow),0,9999
5078,Sam K. Shimabukuro, Mormon bishop,0,9999
5079,Jan Wallman, night club owner and producer,0,9999
5080,Stephen B. Wiley," politician, member of the New Jersey Senate (1973–1978)",0,9999
5081,Ben Abraham," Holocaust survivor, author and journalist",0,9999
5082,Louise Alley, radio personality (KWKH) and advertising executive,0,9999
5083,Jean Badal, cinematographer,0,9999
5084,Ronald Brunskill, architectural historian,0,9999
5085,Du Runsheng, politician,0,9999
5086,Ray Duncan, entrepreneur and winemaker (Silver Oak Cellars),0,9999
5087,Gordon Honeycombe, newscaster author and actor,0,9999
5088,"Geoffrey Howe, Baron Howe of Aberavon", politician Chancellor of the Exchequer (1979–1983) Foreign Secretary (1983–1989),0,9999
5089,Ravindra Jain, composer,0,9999
5090,Julia Jones," scriptwriter (Quiet as a Nun, Our Mutual Friend)",0,9999
5091,Koopsta Knicca, rapper (Three 6 Mafia),0,9999
5092,Blanca Magrassi Scagno, women's rights activist,0,9999
5093,Dave Meyers, basketball player (UCLA Milwaukee Bucks),0,9999
5094,Bruce Nazarian, musician (Brownsville Station) and producer,0,9999
5095,Jerry Parr, Secret Service agent extricated Ronald Reagan during assassination attempt,0,9999
5096,Tony Rafty, caricaturist,0,9999
5097,N. Ramani, flautist,0,9999
5098,Larry Rosen, jazz producer,0,9999
5099,Ronald Lampman Watts," academic, Principal of Queen's University (1974–1984)",0,9999
5100,Eric Wright, crime writer,0,9999
5101,Zdravko Zupan, comic-book creator and historian,0,9999
5102,Alvin P. Adams Jr., diplomat Ambassador to Peru (1993–1996) Haiti (1989–1992) and Djibouti (1983–1985),0,9999
5103,"Sam Adams, Sr."," football player (New England Patriots, New Orleans Saints)",0,9999
5104,Nuriyya Ahmadova, actress,0,9999
5105,Diepreye Alamieyeseigha," politician, Governor of Bayelsa (1999–2005)",0,9999
5106,Kane Ashcroft, footballer (York City),0,9999
5107,Hilla Becher, photographer,0,9999
5108,Wes Funk, author,0,9999
5109,Sophie el Goulli, writer and historian,0,9999
5110,Garry Hancock," baseball player (Boston Red Sox, Oakland Athletics)",0,9999
5111,Richard F. Heck," chemist, Nobel Laureate in Chemistry (2010)",0,9999
5112,Tord Johansson, businessman,0,9999
5113,Lyudmila Kedrina, alpine skier,0,9999
5114,Steve Mackay, saxophonist (The Stooges),0,9999
5115,Manorama, Tamil actress,0,9999
5116,Sir David Penry-Davey, jurist,0,9999
5117,Rochunga Pudaite, writer and translator,0,9999
5118,Maggie Riley," actress (Hazell, Grange Hill)",0,9999
5119,Tex Rudloff," sound editor (Taxi Driver, The Buddy Holly Story, The Warriors)",0,9999
5120,Mahmoud Sehili, artist,0,9999
5121,James Sites, novelist,0,9999
5122,Elias Skaff, politician,0,9999
5123,Sybil Stockdale, human rights activist co-founder of National League of Families,0,9999
5124,Stan Stoker, cricketer,0,9999
5125,Robbin Thompson, singer-songwriter (Steel Mill),0,9999
5126,Ali Barraud, politician,0,9999
5127,John Berg, art director and designer,0,9999
5128,Dean Chance, baseball player (Los Angeles Angels Minnesota Twins Detroit Tigers) and boxing official founder of the International Boxing Association,0,9999
5129,S. A. David, Tamil political activist,0,9999
5130,Jack Drake," politician, member of the Iowa House of Representatives (since 1993)",0,9999
5131,David Hunt, racing driver,0,9999
5132,Smokin' Joe Kubek, blues guitarist,0,9999
5133,Bob Minkler, sound mixer (Star Wars Tron Mask) Oscar winner (1978),0,9999
5134,Salvador Trane Modesto," Roman Catholic prelate, Auxiliary Bishop of Dumaguete (1978–1987) and San Carlos (1987–2005)",0,9999
5135,John Murphy, drummer percussionist and multi-instrumental session musician,0,9999
5136,Andrew Sayers, curator Director of the National Portrait Gallery (1998–2010),0,9999
5137,Dominga Velasco," supercentenarian, oldest-ever verified Mexican-born person",0,9999
5138,Sakit Aliyev, football player and coach (Turan IK),0,9999
5139,Mary Adrian Barrett, Roman Catholic nun,0,9999
5140,Anna Campbell Bliss, artist and architect,0,9999
5141,Sergio Caprari," boxer, Olympic silver medalist (1952)",0,9999
5142,Kevin Cass, Grand Prix motorcycle road racer,0,9999
5143,Sam de Brito, author and columnist,0,9999
5144,Peter Dougherty, music television executive creator (Yo! MTV Raps) and video producer,0,9999
5145,Colleen Farrington, model and singer,0,9999
5146,David Finnegan, attorney talk show host and politician,0,9999
5147,Ernestine Friedl, anthropologist,0,9999
5148,Hal Hackady, lyricist and screenwriter,0,9999
5149,Abdallah Kigoda, politician Minister of Industry and Trade (since 2012),0,9999
5150,Levent Kırca, actor,0,9999
5151,Armin Kircher, composer and conductor,0,9999
5152,Kazuo Kumakura, actor,0,9999
5153,Joan Leslie," actress (High Sierra, Sergeant York, Yankee Doodle Dandy)",0,9999
5154,Robert Leuci, police detective and writer,0,9999
5155,Joseph J. Minnick, politician member of Maryland House of Delegates (1995–2015),0,9999
5156,George Mueller," space engineer, Associate Administrator of the NASA Office of Manned Space Flight (1963–1969)",0,9999
5157,Maksut Narikbaev," jurist, Chairman of the Supreme Court of Kazakhstan (1996–2000)",0,9999
5158,Sophie Nogler, Olympic alpine skier (1948),0,9999
5159,Tom Ognibene, politician member of the New York City Council (1992–2001),0,9999
5160,Leo J. Reding," politician, member of the Minnesota House of Representatives (1975–1995)",0,9999
5161,Gennady Riger," politician, member of the Knesset (1999–2003)",0,9999
5162,Laurence Smart, cricketer,0,9999
5163,Rosalyn Baxandall, historian and feminist activist,0,9999
5164,Arsenio Chirinos," Olympic cyclist (1956, 1960)",0,9999
5165,Sir James Cruthers, business executive,0,9999
5166,Duncan Druce, composer and musicologist,0,9999
5167,Kyogon Hagiyama, politician member of the House of Representatives for Toyama Prefecture (1990–2009),0,9999
5168,Bruce Hyde, educator and actor (Star Trek),0,9999
5169,Sue Lloyd-Roberts, television journalist (BBC ITN),0,9999
5170,Leif Mevik, diplomat,0,9999
5171,Julien J. Studley, businessman,0,9999
5172,Skatemaster Tate, musician and television show host,0,9999
5173,K. Velayudam," politician and trade unionist, MP for Badulla (2001–2004, 2014–2015)",0,9999
5174,Michael Walsh," Army general and scouting leader, Chief Scout (1982–1988)",0,9999
5175,Michael John Wise, geographer,0,9999
5176,Nurlan Balgimbayev, politician Prime Minister (1997–1999),0,9999
5177,Bobby Braithwaite," footballer (Linfield, Middlesbrough, national team)",0,9999
5178,Antonio Cedrés, footballer (Real Betis),0,9999
5179,Marianne Dickerson, long-distance runner,0,9999
5180,José Luis García, baseball player and manager (Tigres de Quintana Roo),0,9999
5181,Peter Hermes, diplomat,0,9999
5182,Mathieu Kérékou," politician, President (1972–1991, 1996–2006)",0,9999
5183,Margaret Keyes, historian and preserver of historic buildings,0,9999
5184,Florența Mihai, tennis player coach and official Secretary General of the RTF (1984–1989),0,9999
5185,Jordi Miralles, politician member of the Parliament of Catalonia (2003–2012),0,9999
5186,Bruce Mozert, photographer,0,9999
5187,Sol Roper, rugby league player (Workington Town),0,9999
5188,Radhakrishna Hariram Tahiliani," admiral and politician, Chief of the Naval Staff (1984–1987), Governor of Sikkim (1990–1994)",0,9999
5189,Paul Taylor, philosopher,0,9999
5190,Robert M. White, meteorologist director of the National Weather Service (1963–1965) ESSA (1965–1970) NOAA (1970–1977),0,9999
5191,Miranda Yap, chemical engineer,0,9999
5192,Lennart Anderson, painter,0,9999
5193,Robert D'Silva, Roman Catholic priest,0,9999
5194,Sergei Filippenkov, football player (CSKA Moscow) and coach,0,9999
5195,Yoshihiko Funazaki, writer,0,9999
5196,Nate Huffman, basketball player (Toronto Raptors Maccabi Tel Aviv),0,9999
5197,Harriet Klausner, book reviewer,0,9999
5198,Don Livingstone, politician Queensland MLA for Ipswich West (1989–1998 2001–2006),0,9999
5199,Dölf Mettler, yodeler and painter,0,9999
5200,Joel Gustave Nana Ngongang, LGBT rights activist,0,9999
5201,Neill Sheridan, baseball player (Boston Red Sox),0,9999
5202,J. Robert Stassen, politician member of the Minnesota Senate (1973–1976),0,9999
5203,Michael Stevens, television producer (Kennedy Center Honors),0,9999
5204,Stella Sutherland, poet,0,9999
5205,Kenneth D. Taylor," diplomat Ambassador to Iran (1977–1980) awarded U.S. Congressional Gold Medal for role in ""Canadian Caper""",0,9999
5206,Carlos Alberto Brilhante Ustra, military officer,0,9999
5207,Larry N. Vanderhoef, biochemist Chancellor of UC Davis (1994–2009),0,9999
5208,Col Westaway, cricketer,0,9999
5209,Tyrone Young, football player (New Orleans Saints),0,9999
5210,Ralph Andrews, television producer (You Don't Say! Liar's Club Lingo),0,9999
5211,Mikhail Burtsev," fencer, six-time world champion, two-time Olympic champion (1976, 1980)",0,9999
5212,Richard J. Cardamone," judge, member of the Second Circuit Court of Appeals (since 1981)",0,9999
5213,Francesc de Paula Burguera," journalist and politician, member of the Congress of Deputies (1977–1979)",0,9999
5214,David Drew, ballet dancer,0,9999
5215,Deo Filikunjombe, politician MP for Ludewa (2010–2015),0,9999
5216,James W. Fowler, theologian and pastoral psychologist,0,9999
5217,Luciano García Alén, physician and ethnographer,0,9999
5218,Joseph E. Irenas, judge member of the US District Court for New Jersey (since 1992),0,9999
5219,William James, soldier and military physician,0,9999
5220,John Jennings, musician and music producer,0,9999
5221,Olimpo López, pastry chef,0,9999
5222,Barbara Orzechowska-Ryszel, Olympic fencer (1960),0,9999
5223,Beny Primm, physician HIV/AIDS researcher and activist,0,9999
5224,Irwin Schiff, tax protester,0,9999
5225,Memduh Ün, film director,0,9999
5226,Vera Williams, children's writer,0,9999
5227,Julia Wilson-Dickson, dialect coach (Braveheart The Theory of Everything Chocolat),0,9999
5228,Danièle Delorme, actress,0,9999
5229,Johnny Hamilton," footballer (Hibernian, Rangers, St Johnstone)",0,9999
5230,Howard Kendall," football player and manager (Blackburn Rovers, Everton, Athletic Bilbao)",0,9999
5231,Anne-Marie Lizin," politician, President of the Senate (2004–2007)",0,9999
5232,Morando Morandini, film critic and author,0,9999
5233,Houston Ridge, football player (San Diego Chargers),0,9999
5234,Peter Sands, politician,0,9999
5235,Tom Smith, politician,0,9999
5236,Emory Tate, chess player,0,9999
5237,Rosa Tschudi, chef and author,0,9999
5238,Norman Vickar, politician,0,9999
5239,Franklin April, footballer,0,9999
5240,André Bourgeois," politician, Minister of Agriculture (1992–1995)",0,9999
5241,Ignazio Cannavò," Roman Catholic prelate, Archbishop of Messina-Lipari-Santa Lucia del Mela (1986–1997)",0,9999
5242,Kallu Chidambaram, comedy actor,0,9999
5243,Robert Dickerson, artist,0,9999
5244,Gamal El-Ghitani, author,0,9999
5245,Robert W. Farquhar, NASA mission design specialist,0,9999
5246,Walter S. Graf, cardiologist,0,9999
5247,Brian Hurn, cricketer (South Australia),0,9999
5248,Héctor Mario López Fuentes, general,0,9999
5249,Ankaralı Namık, folk singer,0,9999
5250,Tommy O'Keefe," basketball player (Washington Capitols, Baltimore Bullets) and coach (Georgetown Hoyas)",0,9999
5251,Anita Sarko, DJ and journalist,0,9999
5252,Loren P. Thompson, politician,0,9999
5253,Harry Verran," politician, MP for South West Nova (1993–1997)",0,9999
5254,Frank Watkins, bassist (Obituary Gorgoroth),0,9999
5255,Paul West, novelist and poet,0,9999
5256,Leon Bramlett, politician and football player (Navy Midshipmen),0,9999
5257,Bill Collier, rugby league player (St. George Dragons),0,9999
5258,Bill Daley, football player,0,9999
5259,Ron Greener, footballer (Darlington),0,9999
5260,Ena Kadic, model,0,9999
5261,Patricia Kern, mezzo-soprano and voice teacher,0,9999
5262,Fleming Mackell," ice hockey player (Toronto Maple Leafs, Boston Bruins)",0,9999
5263,Alessandro Plotti," Roman Catholic prelate, Archbishop of Pisa (1986–2008)",0,9999
5264,Dick Sharples, scriptwriter,0,9999
5265,Ali Treki," diplomat, Foreign Minister (1976–1982, 1984–1986), President of the United Nations General Assembly (2009–2010)",0,9999
5266,D. C. Wilcutt, basketball player (St. Louis Bombers),0,9999
5267,Roland R. Wright, Mormon missionary,0,9999
5268,Makis Dendrinos, basketball player and coach,0,9999
5269,Rufus Granderson, football player,0,9999
5270,Arno Gruen, psychologist,0,9999
5271,Nel Karelse, Olympic track-and-field athlete (1948),0,9999
5272,Gilberto Jiménez Narváez," Roman Catholic prelate, Bishop of Riohacha (1996–2001)",0,9999
5273,Kazimierz Łaski, economist,0,9999
5274,Yoná Magalhães, actress,0,9999
5275,Brian Oliver, Olympic athlete (1956),0,9999
5276,Syed Zahoor Qasim, marine biologist,0,9999
5277,Don Rendell, jazz musician,0,9999
5278,Sir John Scott," medical researcher, President of the Royal Society of New Zealand (1997–2000)",0,9999
5279,Ian Steel, racing cyclist,0,9999
5280,K. S. L. Swamy," film director and singer, National Film Award for Best Children's Film (1989)",0,9999
5281,Jane Wardle, clinical psychologist,0,9999
5282,Cory Wells, singer (Three Dog Night),0,9999
5283,Peter Baldwin, actor (Coronation Street),0,9999
5284,France Bučar," politician, Speaker of the National Assembly (1990–1992)",0,9999
5285,Gregory Robert Choppin, nuclear chemist,0,9999
5286,E. Virgil Conway, civil servant,0,9999
5287,Marty Ingels, actor (I'm Dickens He's Fenster Pac-Man),0,9999
5288,Suryanath U. Kamath, historian,0,9999
5289,Francis Kiddle, philatelist,0,9999
5290,Ossie Langfelder," politician, Mayor of Springfield, Illinois (1987–1995)",0,9999
5291,Rhoda Leonard, baseball player (AAGPBL),0,9999
5292,Michael Meacher," politician, MP for Oldham West (1970–1997) and Oldham West and Royton (since 1997)",0,9999
5293,Norman W. Moore," conservationist, researcher into the use of organochloride pesticides",0,9999
5294,"William Murray, 8th Earl of Mansfield and Mansfield"," nobleman and politician, appointed MEP (1973–1975)",0,9999
5295,Diana Pullein-Thompson, writer,0,9999
5296,Jim Robertson," baseball player (Philadelphia Athletics, Kansas City Athletics)",0,9999
5297,Yawar Saeed, cricket player and manager,0,9999
5298,Anton Solomoukha, artist and photographer,0,9999
5299,Sheldon Wolin, political theorist,0,9999
5300,Willem Aantjes," politician, member of the House of Representatives (1959–1978)",0,9999
5301,Çetin Altan," writer and politician, MP (1965–1969)",0,9999
5302,Murphy Anderson, comic book artist (Superman Green Lantern) creator of Zatanna,0,9999
5303,John Backe, television executive President and CEO of CBS (1977–1980),0,9999
5304,Scott Barr," politician, member of the Washington House of Representatives (1977–1983) and Senate (1983–1993)",0,9999
5305,Tien Feng, actor,0,9999
5306,Juan Ferrer," judoka, Olympic silver medalist (1980)",0,9999
5307,Esther Geller, painter,0,9999
5308,Jürgen Henkys, theologian,0,9999
5309,Labh Janjua, singer-songwriter,0,9999
5310,Louis Jung," politician, Senator for Bas-Rhin (1952–1995)",0,9999
5311,Bryan Lowe, cricketer (Cheshire),0,9999
5312,Jerome Kass, screenwriter (Queen of the Stardust Ballroom),0,9999
5313,Gorden Kelley," football player (San Francisco 49ers, Washington Redskins)",0,9999
5314,Arnold Klein, dermatologist,0,9999
5315,Tomás Torres Mercado, politician member of the Senate (2006–2012),0,9999
5316,Mark Murphy, jazz vocalist,0,9999
5317,Michael Margaret Stewart, lawyer First Lady of Alaska (1986–1990),0,9999
5318,Mohammad Daud Sultanzoy, politician,0,9999
5319,John Tsitouris," baseball player (Cincinnati Reds, Kansas City Athletics)",0,9999
5320,Jorge Valls, activist and poet,0,9999
